_	a	determiner			banyin na basia	a man and a woman
anowatar	perfume	noun			anowatar bɛn nye no?	what perfume is that?
Antaateka	Antartica	noun			Antaateka yɛ asaasetaw	Antartica is a continent
ante	aunt	noun		female relative of your mother	Ante Ama	Aunt Ama
antuhu	towel	noun			antuhu fɔwee	wet towel
anu	both	adjective	afa-anu, ba-anu	indicates two of a kind	afa anu	both sides
anuho	remorse	noun			ɔ annkyerɛ anuho	he showed no remorse
anum	five	adjective	Nkanee 5	The number 5	Bɔdambɔ anum	Five bottles
anuma	baptism	noun			nnuho nye anuma	repentance and baptism
anwew	onion	noun				
anwewba	chives	noun			anwewba na anwew	chives and onions
anyi		noun	anyiwa			
anyiannsɔ	unappreciativeness	noun			mma nnkyerɛ wo anyiannsɔ	do not show your unappreciativeness
anyibere	serious	adjective			adwuma anyibere	a serious work
anyibere	covetuousness	noun			anyibere nnyie	covetuousness is not good
anyibuei	worldliness	noun			ɔ wɔ anyibuei	she possesses worldliness
anyidado	hope	noun			me wɔ anyidado	I have hope
anyidaso	hope	noun			me wɔ anyidaso	I have hope
anyidi	respect	noun			kyerɛ anyidi	show respect
anyiduado	lapse	noun			anyiduado dodow	too many lapses
anyifura	blindness	noun			anyifura yɛ yareba	blindness is a disease
anyigye	happiness	noun			anyigye aba	happiness has arrived
anyigye-anyigye	fun	adjective			ndɛ yɛ anyigye-anyigye da	today is a fun day
anyigye-anyigye	happy	adjective			ndɛ yɛ anyigye-anyigye da	today is a happy day
anyihaw	laziness	noun			anyihaw nnyɛ	laziness is not good
anyika	entertaining	adjective			ɛ yɛ anyika	it is entertaining
anyikom	sleepiness	noun			aduane ma anyikom	food causes sleepiness
anyikosua	eyeball	noun			anyi na anyikosua	eye and eyeball
anyimguase	disgrace	noun			anyiwu nye anyimguase	shame and disgrace
anyimpa	favour	noun			anyimpa nye ayamuyie	favour and kindness
anyimpi	force	noun			ɔ de anyimpi gyee	he took it by force
anyimtia	contempt	noun			gyae anyimtia no	stop the contempt
anyimu	face	noun			hwɛ me anyimu	look at my face
anyimu	forward	preposition			kɔ anyimu	go forward
anyimu	in front	preposition			kɔ anyimu	go in front
anyimu	front	noun			buukuu no anyim	the front of the book
anyimunyam	glory	noun			adasa anyimunyam	glory of humankind
anyina		noun	onyaa			
anyinam	electricity	science			anyinam nye sɛ kyeagye fi bea koro kɔ bea foforo	electricity is when charges go from one place to a new place
anyinam	lightning	noun			anyinam nye aprandaa	lightning and thunder
anyinamde	electric	adjective			kandea anyinamde	electric light
anyinsu	tear	noun			me anyi hyɛee anyinsu	my eyes filled with tears
anyinsuwa	teardrop	noun			anyinsuwa kakra bi	a few teardrops
anyintɔn	eyebrow	noun			anyiwa na anyintɔn	eye and eyebrow
anyisoatɛw	eyelash	noun			anyisoatɛw tuntum	black eyelashes
anyisɔ	pleasure	noun			kyerɛ wo anyisɔ	show your pleasure
anyitan	enmity	noun			anyitan kɛse	great enmity
anyito		noun	anyiwu			
anyiwa	eye	noun			anyiwa na anyintɔn	eye and eyebrow
anyiwabere	greed	noun			anyiwabere nye ahoɔnyaa	greed and envy
anyiwaden	determination	noun			yɛ de anyiwaden bɛyɛ	we will do it with determination
anyiwamba	pupil	noun		inner portion of the eye	anyiwamba na anyikosua	pupil and eyeball
anyiwu	shame	noun			anyiwu nye anyimguase	shame and disgrace
anyɛn	witchcraft	noun			di anyɛn	practise witchcraft
anyɛn-banyin	wizard	noun			ɔ yɛ anyɛn-banyin	he is a wizard
anyɛn-basia	witch	noun			ɔ yɛ anyɛn-basia	she is a witch
anyɛnkoyɛ	friendship	noun			anyɛnkoyɛ yie	friendship is good
ao	oh	exclamation			ao me nua baa!	oh my sister!
apa	framework	noun			dan no ne apa	the framework of the house
apakan	hammock	noun			da apakan no mu	sleep in the hammock
apam	covenant	noun			apam foforo	a new covenant
apampa	tray	noun			fa aduane no si apampa no so	put the food on the tray
apampamu	crown	noun				
apaso	scissors	noun			ma me apaso no	give me the scissors
apem	thousand	adjective	nkanee 1000	the number 1000	mbɔdambɔ apem	thousand bottles
aper	apple	noun			di aper no	eat the apple
apɛde	desire	noun			wo akoma ne apɛde	your heart's desire
aplekehyɛn	application	noun			adwuma aplekehyɛn	job application
apɔnkye	goat	noun			apɔnkye na oguan	a goat and a sheep
apɔtɔbibiri		noun	dɛte			
apɔwmuden	health	noun			aduane ma apɔwmuden	food gives health
apɔwmute	health	noun			aduane ma apɔwmute	food gives health
aprandaa	thunder	noun			ahum nye aprandaa	storm with thunder
apuei	sunrise	noun			fi apuei kɔ si atɔe	from sunrise to sunset
ara	just	preposition			ɔ duru hɔ ara	just as he got there
aroplen	plane	noun	wimuhyɛn	aeroplane, airplane	fow aroplen	board a plane
asaaba	cotton	noun			asaaba fɔwee	wet cotton
asaase	earth	noun			asaasefo	people of the earth
asaase	land	noun			tɔ asaase	buy land
asaasetaw	continent	noun			abibir asaasetaw	African continent
asaasewosow	earthquake	noun			asaasewosow kɛse	big earthquake
asafo	warriors	noun			asafo no reba	the warriors are coming
asam	guinea-fowl	noun			nsam abiasa	three guinea-fowls
asam	pigeon	noun			asam yɛ anoma	a pigeon is a bird
asare	hall	noun			yɛ tena asare do	we are sitting in the hall
asatiri	ransom	noun			tua asatiri	pay a ransom
asaw	dancing	noun			ndwomtow nye asaw	singing and dancing
asawu	net	noun			farenyi ne asawu	a fisherman's net
asawwura	dustpan	noun			mena na asawwura	broom and dustpan
ase	down	adverb			kɔ ase	go down
ase	under	preposition			ɔ bɛpra pon no ase	she will sweep under the table
aseda	thanks	noun			aseda nka Nyame	thanks be to God
asen	loin	noun			me asen	my loins
asenade	downstairs	adverb			ɔ wɔ asenade	he is downstairs
asera	snuff	noun			ma me asera no bi	give me some snuff
aserewsɛm	joke	noun			ka me aserewsɛm	tell me a joke
asesawnsu	pail	noun			asesawnsu na samina	pail and soap
asetaagyee	sock	noun			wo hyɛ asetaagyee	you are wearing socks
asew	inlaw	noun			hɛn nsewnom	our inlaws
asɛde	responsibility	noun			ɛ yɛ wo asɛde	it is your responsibility
asɛm	issue	noun			asɛm foforo	new issue
asɛmbisa	question	noun			me wɔ asɛmbisa	I have a question
asɛmpa	gospel	noun			Yesu ne asɛmpa	the gospel of Jesus
asɛmpakanyi	preacher	noun			ɔ yɛ asɛmpakanyi	she is a preacher
asɛmpatrɛwnyi	missionary	noun			wɔ yɛ asɛmpatrɛwfo	they are missionaries
asɛmpɔw	heading	noun			nwoma nsɛmpɔw	book headings
asɛndii	judgement	noun			asɛndii bɛn?	which judgement?
asɛndiibea	court	noun			me rekɔ asɛndiibea	I am going to court
asɛndiinyi	judge	noun			nsɛndiifo asuon	seven judges
asɛsɛgua	stool	noun			tena asɛsɛgua no so	sit on the stool
Asi	Esi	noun	basia a wɔ wooee no Kwasida	Akan female born on Sunday	Asi yɛ me babea	Esi is my daughter
asia	six	adjective	Nkanee 6	The number 6	Bɔdambɔ asia	six bottles
asiam	flour	noun			aburow asiam	corn flour
asiane	misfortune	noun			asiane pii	many misfortunes
asiesɛm	secret	noun			me wɔ asiesɛm	I have a secret
asikyire	sugar	noun			asikyire na nsu	
asikyireamba	raisin	noun			di asikyireamba no	eat the raisins
asoaso	donkey	noun			nsoaso du	ten donkeys
asoasoa	rabbit	noun			asoasoa fufuw	a white rabbit
asodi	responsibility	noun			ɛ yɛ wo asodi	it is your responsibility
asomafo	messengers	noun			asomafo no aba	the messengers have come
asombɛn	ivory	noun			asombɛn kɔnmuade	ivory necklace
Asombɛn Mpoano	Cote d'Ivoire	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Asombɛn Mpoano	go to Cote d'Ivoire
Asombɛn Mpoanonyi	Ivoirian	noun	obi a ɔ fi Asombɛn Mpoano	someone from Cote d'Ivoire	Asombɛn Mpoanofo no	the Ivorians
asomuade	earpiece	noun			asomuade foforo	new earpiece
asomudwoe	peace	noun			me pɛ asomudwoe	I want peace
asopatere	shoe	noun		footwear that covers all of the foot	hyɛ wo asopatere	wear your shoes
asorɛkye	wave	noun			asorɛkye no rebu	the waves are breaking
asotie	obedience	noun			asotie nye ɔdɔ	obedience and love
asowa	ear	noun			asowa na hwene	ear and nose
asowamuade	earring	noun			ɔ hyɛ asowamuade	he wears earrings
asoɛe	lodge	noun			Tena asoɛe hɔ kakra	stay at the lodging for a while
asɔre	church	noun			kɔ asɔre	go to church
asɔw	hoe	noun			asɔw na adare	hoe and cutlass
asuba	stream	noun		small body of flowing water	twa asuba no	cross the stream
asuom	wee hours	noun			asuom dɔn-koro	1am
asuon	seven	adjective	Nkanee 7	The number 7	mbɔdambɔ asuon	seven bottles
Asusow	wet season	noun			Asusow aba	the wet season has arrived
Asusow Aketeaba	May	noun			Asusow Aketeaba wɔ nda 31	May has 31 days
ata	twin	noun		one of a pair of twins	ɔ yɛ ata	she is a twin
ataade	garment	noun			hyɛ ataade	wear a garment
atadwe	tigernut	noun			atadwe anan	four tigernuts
atare	dress	noun			atare bruu	blue dress
ateetee	oppression	noun			ateetee paa!	such oppression!
atenka	feeling	noun		emotion	wo adwene nye wo atenka	your mind and your feelings
atere	spoon	noun			ntere duasia	sixteen spoons
atɛkyɛ	mud	noun			hohoro atɛkyɛ no	wash the mud
atɛntenenee	justice	noun			fawohodi nye atɛntenenee	freedom and justice
atɛntɛbɛn	flute	noun			bɔ atɛntɛbɛn no	play the flute
atibɛn	catarrh	noun			me wɔ atibɛn	I have catarrh
atifi	summit	noun			koko atifi	mountain summit
atifi	north	noun			kɔ atifi	go north
Atifi Koria	North Korea	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Atifi Koria	go to North Korea
Atifi Korianyi	North Korean	noun	obi a ɔ fi Atifi Koria	someone from North Korea	Atifi Koriafo no	the North Koreans
atikɔ	back of the head	noun			wo atikɔ	the back of your head
atiridii	fever	noun			ɔ wɔ atiridii	she has a fever
atliti	athlete	noun			ɔ yɛ atliti	she is an athlete
atoko	millet	noun			atoko kooko	millet porridge
atombo	anvil	noun			hamɛr nye atombo	hammer and anvil
atoro	lie	noun			ɛ yɛ atoro	it is a lie
atoro	lie	noun			atoro nye amanto	lies and discord
atɔe	sunset	noun			fi apuei kɔ si atɔe	from sunrise to sunset
atɔm	atom	science			atɔm wɔ niwklɔs nye ilɛktrɔn	an atom has a nucleus and electrons
atuduru	gunpowder	noun			me hua atuduru	I smell gunpowder
atumpan	talking drum	noun			ntumpan anan	four talking drums
atwede	stair	noun			fow atwede no	climb the stairs
atwere	ladder	noun			atwere tenten	long ladder
atwetwe	scorn	noun			gyae atwetwe no	stop the scorn
atwɛre	quarrel	noun			atwɛre kɛse	a big quarrel
atwɛre	frog	noun			atwɛre pɛ nsu	a frog likes water
aware	marriage	noun			aware pa	good marriage
awaregu	divorce	noun			aware nye awaregu	marriage and divorce
awendade	lion	noun			awendade we nam	a lion eats flesh
awengaa	pedophile	noun			ɔ yɛ awengaa	he is a pedophile
awerɛfiri	forgetfulness	noun			ne awerɛfiri	her forgetfulness
awerɛfirimu	suddenly	adverb			ɛ baee awerɛfirimu	it came suddenly
awerɛhow	grief	noun			awerɛhow reku me	grief is killing me
awerɛhyɛmu	confidence	noun			me wɔ awerɛhyɛmu	I have confidence
awerɛkyekyer	consolation	noun			ɔdɔ nye awerɛkyekyer	love and consolation
awerɛw	nail	noun		a horny covering of the ends of animal fingers and toes	nsa nye nan awerɛw	finger and toe nails
awi	thief	noun			ɔ nnyɛ awi	he is not a thief
awia	sun	noun			awia rebɔ	the sun is shining
awiaawia	sunny	adjective			da awiaawia	a sunny day
awiabere	afternoon	noun			me bɛba awiabere	I will come in the afternoon
awiei	behind	noun			awiei abɛn	the end has neared
awiei	end	noun			awiei no aba	the end has come
awifua	wheat	noun			di awifua 	to eat wheat
awimbere	evening	noun			awimbere ediban	evening meal; dinner
awoda	birthday	noun			ndɛ yɛ me awoda	today is my birthday
awode	womb	noun			basia ne awode	female's womb
awofo	parents	noun			ne awofo	his parents
awoo	birth	noun			awoo bea	place of birth
awɔse	goosebumps	noun			awɔse akyere me	I have got goosebumps
awɔtwe	eight	adjective	Nkanee 8	The number 8	Mbɔdambɔ awɔtwe	Eight bottles
awɔw	freezing	adjective		temperature	anafua yɛ awɔw	night is freezing
awɔwbere	winter	noun			me di awɔwbere wɔ Gyɛmɛni	I spend winter in Germany
awudi	murder	noun			nkɔnkɔnsa na awudi	gossip and murder
awur	padlock	noun			awur na safoa	padlock and key
awura	lady	noun			Awura Danso	Lady Danso
awuraa	miss	noun		damsel; young lady	awura nye awuraa	lady and young lady
awuraba	mistress	noun			wura nye awuraba	master and mistress
Awurade	Lord	noun			me kra hyira Awurade	my soul bless The LORD
ayamuhyehye	compassion	noun			ɔ wɔ ayamuhyehye	she has compassion
ayamuyie	generosity	noun			wo ayamuyie	your generosity
ayamuyie	kindness	noun			adom nye ayamuyie	favour and kindness
ayamuɔwen	stinginess	noun			ayamuɔwen anaa ayamuyie	stinginess or generosity
ayaresabea	hospital	noun			kɔ ayaresabea	go to a hospital
ayeforo	bride	noun			ayeforo kunu	bride's husband; groom
ayeforohyia	wedding	noun			yɛ rekɔ ayeforohyia	we are going to a wedding
ayeforokunu	groom	noun			ayeforokunu ne ayɛnkofo	groom's friends
ayekoo		exclamation	mbo		Ayekoo! (Ngyeso: Yɛayie!)	
ayerfa	adultery	noun			ayerfa nye awaregu	adultery and divorce
ayɛ		noun	hwɛ 'akyɛde'			
ayɛnkoyɛnko	friendly	adjective			abofra ayɛnkoyɛnko	a friendly child
ayɛw	praise	noun			ɔ sɛ ayɛw	she deserves praise
Ayɛwoho	July	noun			Ayɛwoho wɔ nda 31	July has 31 days
Ayɛwohomumu	June	noun			Ayɛwohomumu wɔ nda 30	June has 30 days
ayɛyi	adulation	noun			ɔ sɛ ayɛyi	she deserves adulation
ayi	funeral	noun			me rekɔ ayi	I am going to a funeral
ayodiin	iodine	science			ayodiin (I) wɔ protɔn 53	iodine (I) has 53 protons
ayowa	bowl	noun			ayowa kɔkɔɔ	a red bowl
azaa	rascal	noun			ɔ yɛ azaa 	she is a rascal
Azɛbaegyan	Azerbaijan	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Azɛbaegyan	go to Azerbaijan
Azɛbaegyannyi	Azerbaijani	noun	obi a ɔ fi Azɛbaegyan	someone from Azerbaijan	Azɛbaegyanfo no	the Azerbaijanis
azonto	azonto	noun			me nyim azonto saw	I know how to dance azonto
b (B)	b (B)	noun	Akan akyerɛwamba a ɛ tɔ so abien.		Wo sua wo A B D wɔ skuul	You learn your "A B D" at school
ba	child	noun			me maame ba yɛ me nua	my mother's child is my sibling
ba	come	verb			ba ha	to come here
baa	woman	noun			ɔbaa fɛɛfɛw	a pretty woman
baa ... mu	loosen	verb			baa bɛlɛt no mu	to loosen the belt
baabi	somewhere	pronoun			yɛ rekɔ baabi	we are going somewhere
baage	bag	noun			hwɛ baage no	look at the bag
baako	one person	noun			baako reba	one person is coming
baakron	nine persons	noun			baakron reba	nine persons are coming
baanan	four persons	adjective			baanan reba	four persons are coming
baanu	two persons	noun			baanu reba	two persons are coming
baanum	five persons	adjective			baanum reba	five persons are coming
baasa	three persons	noun			baasa reba	three persons are coming
baasakoro	trinity	noun			baasakoro krɔnkrɔn	holy trinity
baasia	six persons	noun			baasia reba	six persons are coming
baasuon	seven persons	noun			baasuon reba	seven persons are coming
baatan	woman	noun			baatan ahoɔfɛwnyi	a pretty woman
baawɔtwe	eight persons	noun			baawɔtwe reba	eight persons are coming
baba	memorize	verb			di baba	to memorize
babadi	memorization	noun			babadi bi yie	some memorization is good
babanyin	son	noun	ba banyin	male child	me babanyin	my son
babarimba	son	noun		male child	me babarimba	my son
babasia	daughter	noun	ba basia	female child	me babasia	my daughter
babea	daughter	noun		female child	me babea	my daughter
babiree	plenty	adjective			nsɛm babiree	plenty of issues
badwoa	ovary	noun			mbasiafo wɔ mbadwoa abien	women have two ovaries
bae	extend	verb			bae wo nsamu	extend your palms
baebae	goodbye	exclamation			ka baebae	say goodbye
baebol	bible	noun			Baebol na Koran	the Bible and the Koran
baesekel	bicycle	noun			baesekel foforo	new bicycle
bafa	cubit	noun			mbafa abiasa	three cubits
bafua	singleton	noun			fa mbafua no bɔ mu	combine the singletons
bafuu	rich	adjective			man bafuu	a rich country
bagua	public	noun			wo nnka 'twɛ' wɔ bagua mu	you don't say 'vagina' in public
baguanyi	councillor	noun			ɔ yɛ baguanyi	she is a councillor
bahaw	fatigue	noun			brɛ nye bahaw	tiredness and fatigue
baka	lagoon	noun			Edina baka	Elmina lagoon
balun	balloon	noun			balun abien	two balloons
bamba	ledge	noun			da bamba no so	sleep on the ledge
bambɔ	protection	noun			ma me bambɔ	give me protection
ban	fence	noun			ban akyiri	behind a fence
Bangladɛhye	Bangladesh	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Bangladɛhye	go to Bangladesh
Bangladɛhyenyi	Bangladeshi	noun	obi a ɔ fi Bangladɛhye	someone from Bangladesh	Bangladɛhyefo no	the Bangladeshis
banke		noun	hwɛ 'sikakorabea'			
banku	banku	noun			wo di banku?	you eat banku?
bankum	left	adjective			kɔ bankum	go left
bankye	cassava	noun			borɛde na bankye	plantain and cassava
bankye	yuca	noun			borɛde na bankye	plantain and yuca
banyimba	boy	noun	abofra banyin		banyimba no wɔ ha	the boy is here
banyin	man	noun			banyin tenten	a tall man
bara	forbid	verb			bara no	forbid her
Baren	Bahrain	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Baren	go to Bahrain
Barennyi	Bahraini	noun	obi a ɔ fi Baren	someone from Bahrain	Barenfo no	the Bahrainis
barima	male	noun			Mandela yɛ barima	Mandela is male
basaa	distressed	adjective			adwene basaa	a distressed mind
basabasa	unkempt	adjective			pia basabasa	an unkempt room
basia	female	noun		the gender that has the egg in making offspring	basia ne awode	female's womb
basiaba	damsel	noun			basiaba yi no yɛ fɛw	this damsel is pretty
basiaba	such as this	exclamation			nyimpa basiaba!	a person such as this!
basiaba	girl	noun			basiaba tenten	tall girl
bata	trade	noun		the exchange of products and services	bata papa	a good trade
batadi	trading	noun			batadi mfaso	trading profit
batakeri	robe	noun			batakeri fitaa	a white robe
batanyi	customer	noun			batanyi papa	a good customer
batiri	shoulder	noun			gyina me abatiri so	stand on my shoulders
batri	battery	noun			batri foforo	a new battery
batwɛre	elbow	noun			mbatwɛre nye ntwɛre	elbows and knees
bayere	yam	noun			noa bayere no	cook the yam
bayi	sorcery	noun			yɛ bayi	practise sorcery
bayolɔgyi	biology	noun		the study of living things	yɛ resua bayolɔgyi	we are learning biology
bea	place	noun			bea bɛn?	which place?
bea	female	adjective			ba bea	a female child
beabiara	everywhere	pronoun			beabiara yɛ hyew	everywhere is hot
befo	mourner	noun			abefo pii	many mourners
benabɔ	wailing	noun			su nye benabɔ	crying and wailing
Benada	Tuesday	noun			Benada mba	Tuesday children
bene	be cooked	verb			aduane abene	food is cooked
bepɔw	mountain	noun			bepɔw atifi	mountain peak
ber	surf	noun			hwɛ ber no	look at the surf
berano	harbour	noun			pohyɛn no wɔ berano	the ship is at the harbour
berdum	purple	adjective			nhyiren berdum	purple flower
bere	fertile	adjective			asaase bere	fertile  land
bere	ripen	verb			mango no abere	the mango has ripened
bere	moment	noun			bere no apa ho	the moment is up
beree	sexy	adjective			banyin beree	a sexy man
bereku	eel	noun			mbereku asuon	seven eels
beriliyɔm	beryllium	science			beriliyɔm (Be) wɔ protɔn 4	beryllium (Be) has 4 protons
